Posicao_Rank,Features,Curva ROC,KS,divergencia_kl,Wasser,inf_mutua,Overlap_GMM,Geo_Score,Skewness_Score,Kurtosis_Score,Corr_Score,Outlier_Score,Silhouette,Davies_Bouldin,Dist_Centroides,Score_Final
1502,V17 | V21 | V25,0.6367647955841657,0.5142275987285426,0.48251583325286107,0.6356102428818264,0.4614283981717485,0.9368765464829365,0.03454129721995696,0.2196552648698063,0.010974176465781487,0.9626508393590776,0.13880609456663986,0.5632094476915733,6.9660571337425985,0.4598375377403144,0.4225383244257178
1503,V6 | V10 | V13,0.5465014911306569,0.5331355847636752,0.5366826508074326,0.569415844622879,0.44589122044785773,0.8288582262874671,0.09443910156225765,0.4977684050093081,0.050484023695577564,0.948580195311682,0.09279929877427409,0.4751165193031781,1.5953875774057908,1.9268144456168939,0.42243160932643903
1504,V4 | V6 | V23,0.6283418543429048,0.5515605082346028,0.5385003671645171,0.5270052113186885,0.5088354607322597,0.8861300175545591,0.08826744750584486,0.20333879919485434,0.006107138234579486,0.8922620119368361,0.045856965618712504,0.45923769311283064,2.133603803221264,1.840030167676197,0.4222907565162777
1505,V5 | V13 | V14,0.6050940580187387,0.5279886794576535,0.5285794543414035,0.7041648127306052,0.47422754031463643,0.7354098975635689,0.040949097683056726,0.3789221932028459,0.015253398341620468,0.8816144454545867,0.12244835740604564,0.42113956972454486,4.589938818145824,0.7238481809880969,0.42205552683657166
1506,V16 | V18 | V24,0.5265564730565545,0.4994778616856816,0.8435844227588836,0.5370532266845864,0.41918806434505057,0.4843331080952533,0.02878857159393601,0.6477454215628109,0.24494453486248088,0.9209352561300153,0.20275245811096915,0.2699986222769916,3.9815824738737406,0.5204617399125915,0.4220262998941441
1507,V5 | V14 | V26,0.5607331691586914,0.5224297707370821,0.5435398503226377,0.7017388223083302,0.4830969772937255,0.77843022670643,0.045630153936396495,0.3460935971870766,0.01519925593223793,0.9474566547687581,0.11017159181658402,0.5055560222888225,4.054661733693754,0.748549078298086,0.42201024501997075
1508,V8 | V11 | V23,0.6753760604810635,0.49378012006143507,0.621767983827327,0.5572089360348066,0.4413089961040544,0.9449299070288436,0.05246189064991357,0.08204321245388968,0.0038697821082263432,0.8717615632391921,0.0670187132674852,0.5163094584462159,4.076716489705169,0.9255538962554616,0.4219230433720836
1509,V14 | V21 | V22,0.6352162852431533,0.5445638222160505,0.5107878018496294,0.6357217797344636,0.5351958412191332,0.9221399602829141,0.029556276697572416,0.30221772962740406,0.015029642266976265,0.3608465759795585,0.12155864403179706,0.5177588446797522,8.052254840612962,0.383973670831003,0.4219081408326196
1510,V5 | V11 | V22,0.5520191965351581,0.46855831797306285,0.6397614518240737,0.5744113325342212,0.4049741242919243,0.8345557168907488,0.041207377069272036,0.5065506054238058,0.01685944319700893,0.9866139762553235,0.31158455397887863,0.5209662327766104,4.658039720486236,0.6332405568123939,0.4217857426344729
1511,V16 | V19 | V20,0.6731230594470298,0.5292194800484799,0.6719144393184453,0.4798544592938269,0.4212952905186476,0.8363481517028114,0.02899677683372126,0.4807314774603893,0.012051582435442272,0.6478873590578444,0.05992311374912882,0.3947976658403921,5.9750896661171655,0.458730749730488,0.42176832488392185
1512,V1 | V18 | V19,0.5766164483534707,0.49691806224880936,0.6373509318555366,0.6008840306640745,0.381662075528072,0.691321052252441,0.1105905974435769,0.44350377558128307,0.10094645664823783,0.9392604149611893,0.1581270388396743,0.3356560495478191,0.9906644322462786,2.391092480251972,0.42172177521420284
1513,V4 | V5 | V23,0.6594719295998739,0.529062434275763,0.47043142850499964,0.6170708869418298,0.4860704825420557,0.9374353819308873,0.04102409567118007,0.1864378578157994,0.003989768244094761,0.8887542216735285,0.07126261043956643,0.4880261003336329,7.635362734524777,0.7221033429334217,0.42165533349934786
1514,V14 | V20 | V23,0.6747278131640644,0.5308358303442461,0.5195287932833046,0.6051372206895026,0.4866016742261337,0.9435533431630956,0.03461706046336871,0.16331593468135047,0.003261669694606744,0.7393491929915645,0.032950138199318704,0.5501932665990804,6.808913426845326,0.47240023451713065,0.4216522567206962
1515,V10 | V21 | V24,0.5557613913062324,0.5593219159410495,0.49545557390795303,0.5697911481377717,0.4937130221100459,0.9527639407184414,0.042418901507629454,0.3267831741947968,0.014608947140770552,0.9329483849040431,0.12886161044200034,0.5800250898156414,5.96446695945306,0.6404795507943878,0.42160921360087616
1516,V12 | V15 | V27,0.5812933395197775,0.4984896751738539,0.6580750760651417,0.5630194929774326,0.4771653593174464,0.8107416115128899,0.04082133715475191,0.43432698146472337,0.012994986291756678,0.8993772835104712,0.0375833896060662,0.29386059748437254,3.0645334736591163,0.7804940913059315,0.4215201783138256
1517,V1 | V21 | V27,0.6662449715156731,0.5644479536753864,0.35106536135410316,0.555430631754176,0.4894274405769104,0.9365342719279478,0.14925930231066284,0.21355822103390526,0.006117549414638722,0.8432557516767807,0.03257449041069397,0.5087797171747698,1.1628220451812958,3.3158313278966767,0.42141031551092223
1518,V9 | V11 | V25,0.5944627105941741,0.5451449736295477,0.7743647978013678,0.5344137689060042,0.48811339713982843,0.21153498619241215,0.014609977517995329,0.7537405857635515,0.32232363928543795,0.9557080310069298,0.3106217185190724,0.23151653441367012,7.226346121803299,0.2502326387843259,0.42132325355817374
1519,V11 | V21 | V26,0.5646015755636207,0.5203200351061065,0.6402552490175223,0.46378904276345095,0.4796728763885011,0.934364732475889,0.021296724253410934,0.3762021364833946,0.01699734275957736,0.9661093174183648,0.1980521524243967,0.45169434225626637,10.733038576912412,0.24931830649731246,0.42129963618913746
1520,V2 | V5 | V6,0.6558484065897818,0.6061598804633309,0.40332864865106394,0.6218242341135071,0.47953602235819803,0.9001947452225959,0.09868654524031818,0.18913894462999856,0.009489492627428674,0.6196193255615998,0.053782803714626036,0.5353376098352377,2.485903160736787,2.081221724615174,0.4212717876060178
1521,V4 | V15 | V18,0.5482697427776365,0.5058330492684743,0.7232258438513379,0.555067939294035,0.4818584474154356,0.2941747002945036,0.036974505662554356,0.7709788693986649,0.4811161623190207,0.9321355360098458,0.18984834616158108,0.28382665613222174,3.1781997818030083,0.6919817612084098,0.4211470730090865
1522,V12 | V15 | V18,0.5612682137386397,0.5137120586930947,0.7966120851517162,0.6353472818995262,0.46587983409379774,0.41029356293264696,0.04330753836436424,0.5228811848559414,0.15507415139807612,0.8820877352951524,0.15009939781704512,0.29008256221797607,2.4420054829721094,0.8077906103912117,0.42114565478819815
1523,V13 | V17 | V21,0.6324903210367815,0.5209750612629709,0.46342378401350176,0.6332695777558456,0.45762351218743175,0.9446898664122764,0.03271755972365894,0.23147322535745382,0.011152310897947774,0.9415937379599677,0.1540564259540065,0.47478077794266593,7.284070941808401,0.5031924482828529,0.42109529894764375
1524,V4 | V21 | V23,0.7030046771563359,0.5660103185817692,0.4518985186058029,0.5273071493942991,0.5494692905530479,0.9515418069831827,0.03175425878970041,0.1579486325210221,0.00398608106684802,0.755208514924591,0.06501484010744675,0.4606826252620658,7.955902716305873,0.49999255282435,0.4209501125277696
1525,V18 | V19 | V27,0.6676220860613648,0.49431229945126726,0.7091075856572585,0.369027331277389,0.3986034920572056,0.8182150346013292,0.009133273262938118,0.7122010191493228,0.013978854969422694,0.9691213874048931,0.03839556921992593,0.24430000356101284,13.302694703764633,0.13926434813338542,0.4209288830083384
1526,V12 | V19 | V23,0.646399750736275,0.4911370530605716,0.6245884902342081,0.5828862185752623,0.43701083740622015,0.8991924450802103,0.04416773567776157,0.20679598015814385,0.006528818992185242,0.8552749702726715,0.06526338301221093,0.4612353237413097,4.120792582281093,0.7554166701753007,0.42090910434294265
1527,V8 | V14 | V25,0.6198642448926359,0.4906116890164339,0.5192313856529843,0.6863714349445766,0.4689567563201329,0.9149481248083342,0.05558473344458846,0.14140273673126125,0.01401350553195726,0.8788688742285967,0.06647760079939162,0.5925479257259639,3.9914364631257726,0.9313829799088371,0.42088311092263836
1528,V6 | V9 | V28,0.6497934315442363,0.5499547831850513,0.7419820058810026,0.399132957691701,0.4556129460948629,0.8833408799844222,0.07675596511033873,0.0974584933674895,0.0018750399482369005,0.8772103919017936,0.03135281001579808,0.423674054542721,2.124841197462878,1.5597743057288431,0.42075903774452567
1529,V14 | V15 | V28,0.5993396589863558,0.47951517033504154,0.7180402633135147,0.5755964114761176,0.4881723125877232,0.8844876288128142,0.029326242675689056,0.09855019433045674,0.00197169711409467,0.9417347377647691,0.05697275902840688,0.3247697168457932,4.815887151635724,0.5091965580439295,0.42066838361980546
1530,V2 | V5 | V21,0.7305112294032128,0.6206096908104973,0.2831097508633228,0.62207449929579,0.5201698521789861,0.9521278539638288,0.05825760505888106,0.14724837490124884,0.005703734719193146,0.6023281805866836,0.07644303815273203,0.5962127672271569,5.607259424317678,1.0498354970288153,0.4205053803746197
