Posicao_Rank,Features,Curva ROC,KS,divergencia_kl,Wasser,inf_mutua,Overlap_GMM,Geo_Score,Skewness_Score,Kurtosis_Score,Corr_Score,Outlier_Score,Silhouette,Davies_Bouldin,Dist_Centroides,Score_Final
184,V8 | V9,0.6729194112724224,0.5396584025604965,0.5412309815482097,0.6074125788441461,0.4302434320658463,0.9190354114431973,0.054683170130905935,0.10687032383079278,0.009171811332125962,0.9966713343969446,0.0356233531796651,0.5952424115565571,3.5017264467431897,0.9382926240701658,0.42500657765734523
185,V14 | V25,0.5970495908003545,0.5306492325297648,0.6362709424019711,0.717975488240457,0.5305177763658726,0.5254979808084229,0.02150730507437236,0.4365336431237633,0.08054566635515009,0.9478626265299553,0.07975173357187793,0.4410723193381131,5.932690711017074,0.2702459367859924,0.42467444508230034
186,V8 | V18,0.671102216674909,0.49184310069386117,0.68748323925332,0.5888855062924031,0.3761313475847696,0.9083779202404284,0.04968303969313746,0.11283512815657401,0.009228025306880676,0.9020658297935708,0.037204444082890094,0.6104919859033107,3.4803114689365113,0.7863204435728386,0.4240035646314139
187,V17 | V25,0.5737539713635799,0.4666416129656031,0.5824049717143971,0.7224043402641589,0.4143689944447976,0.8664871070140789,0.04878280812473815,0.27468012036298994,0.02277125285791068,0.9937536924872102,0.1380973413667399,0.5954261758104055,2.3198168101252232,0.6989389853243181,0.4239505471204061
188,V17 | V22,0.5482228273605811,0.4468033084054353,0.558281409297636,0.7269331211925882,0.40531639897123345,0.9164896581474101,0.059998714106892836,0.2875835199565178,0.023130778033854493,0.9818298013361932,0.2165280678062073,0.6161046777219796,1.7040116584897285,0.9139649316018738,0.4234202304993331
189,V1 | V27,0.6163133626482468,0.5397620749826687,0.42551196260737817,0.6194867518158687,0.45501823673788955,0.9283391252970735,0.13675834003605913,0.26330208801177396,0.00708372176621458,0.8454372750670855,0.015681523848209016,0.5845333968849118,0.5579256411937278,2.7560786265035926,0.42329358610885676
190,V18 | V28,0.6985335486081223,0.4918836410711685,0.8978546184788404,0.3739095610386974,0.4108065199355017,0.8886410594601931,0.013317135050137303,0.06834884732736261,0.0008425349458262121,0.9664701887201501,0.026003069379290974,0.28510959313182166,6.097208373246057,0.20734106467391414,0.4224471030191842
191,V13 | V17,0.5675830775662999,0.4764658680606228,0.5602180626590194,0.7194653018523951,0.4088450293735647,0.8526959461451769,0.05307939069682323,0.29757343475528986,0.023808913025680806,0.9752816618324258,0.1694507168193345,0.5174472279268221,1.6991579847029485,0.8242260200402526,0.4220846903031816
192,V13 | V14,0.5908786970030747,0.5404734876247845,0.6166499847585316,0.7150102747625305,0.5249938112946398,0.46700557148408717,0.034177203941571165,0.48382988621675915,0.0934792683932499,0.8626779139781062,0.09240485596194396,0.348550904399345,3.0292473055066997,0.6025790262518618,0.4198623155827416
193,V12 | V24,0.4501546121051929,0.5189403722812725,0.7263724716861876,0.6743076888265047,0.46702639556862496,0.6239065169486594,0.07072428045830319,0.38891402880966897,0.1068755909323751,0.9975367820518563,0.07641245582830902,0.5055987626374774,0.8504046084903013,1.1448696602304513,0.4192910077610855
