Features,Silhouette,Davies_Bouldin,Dist_Centroides,Overlap_GMM,KS,Wasserstein,ROC_AUC,Score_Final
V14 | V17,0.7646638631767005,0.9982848687737814,0.37649846111556096,0.9613570684527036,0.9629124285445909,0.9957319360810567,0.9999999999999998,0.9232341058324806
V11 | V16,0.7097894277124267,0.9991447644652016,0.2848154115494478,0.9409711018822497,0.8727570381900648,0.5599382648499226,0.9166739880595964,0.7908965918126264
V9 | V14,0.6837170266759373,0.998606123609668,0.2620905951329079,0.9043454063136998,0.8487737849225733,0.6733499028593687,0.8587655996355974,0.7873169057673575
V2 | V3,0.6463427947069424,0.9977668203475095,0.3062368816984982,0.9204563761502975,0.7984820589892919,0.7536659356903357,0.8259031332407907,0.7847197049743146
V14 | V21,0.7081194338762599,0.9981595754410054,0.2378739922734413,0.9542946202068268,0.8084774965781917,0.5909893078020456,0.8856682269118186,0.7840636970880009
V17 | V18,0.7359821893212388,0.997570290120697,0.264837161435349,0.9389395603665588,0.745778159469687,0.661674484860743,0.8371478916866373,0.7839357554566991
V17 | V21,0.738419491647435,0.9971554627730258,0.23926106469496794,0.9670719833563509,0.7514215936233596,0.5987972745964156,0.8627051848527816,0.7826871608801798
V5 | V14,0.6800326180534239,0.9978417911697068,0.2729879080612141,0.9315820923983446,0.7591508547811385,0.7257077680884348,0.824168976847728,0.7822922998716296
V5 | V17,0.7114827584583088,0.9970340189344904,0.27397944808473834,0.944513297845048,0.7020949518263065,0.7335157348828049,0.8012059347886911,0.7812417448965305
V4 | V16,0.6500276406130602,0.9986462684525792,0.2769659153186026,0.9177571171597706,0.8791433402216796,0.6130174298941271,0.9080843046005831,0.7811867739264273
V3 | V9,0.7182829220131663,0.9987980044340936,0.38809958480772,0.9297663180011312,0.7620020933415637,0.677617966778312,0.7762780561408915,0.7775641276416387
V4 | V11,0.6202168544214535,0.9990019862834584,0.2711537048262493,0.9065776556759053,0.9235855183704142,0.5857910746820623,0.9020384109558677,0.7737777872304218
V2 | V12,0.6009498048413476,0.9973269349449865,0.2168920938341601,0.8996701644564492,0.8556431657765493,0.7006285669983681,0.8625880425659025,0.772668143136023
V8 | V14,0.6784809043286973,0.9970952319962954,0.21475495853403373,0.9511801149638628,0.7167590778562036,0.6872374675773922,0.8391203875787727,0.7721266026677365
V3 | V18,0.7365827081867901,0.9988328491703502,0.40121182311946896,0.9338252679907375,0.7160623708435093,0.6581345819853164,0.7776233902509682,0.7702037236352439
V8 | V17,0.7063172464221598,0.9960977524501392,0.21468763717630027,0.9621194654084795,0.6597031749013715,0.6950454343717624,0.8161573455197357,0.7696746343642601
V1 | V12,0.6330098113405014,0.9980397517493591,0.33610953205993205,0.9209131077903925,0.7542857142857143,0.7813214228831867,0.7111564061287043,0.7667177978293741
V2 | V10,0.5887019006052943,0.9952647297777968,0.15304294441655938,0.9043872072386162,0.8652854190708785,0.6582852233782062,0.8693485041605786,0.7649212558668524
V1 | V10,0.630899714251142,0.9977073688988272,0.3084047577974754,0.9309066060682947,0.7639279675800434,0.7389780792630248,0.7179168677233803,0.762824476220811
V1 | V3,0.620149658754913,0.9984120501450253,0.37636984570415505,0.9170986510287638,0.697124607498457,0.8343587915751545,0.6744714968035923,0.7580559069410008
V12 | V18,0.685549369498556,0.9987780485940416,0.27098903203827396,0.9145468303089772,0.7732234776307669,0.6050972132933486,0.8143082995760802,0.7571190180943146
V12 | V21,0.6841639893254903,0.9979981748136223,0.22354957900860145,0.9423334490493586,0.7788669117844396,0.5422200030290213,0.8398655927422243,0.7548283018306268
V5 | V12,0.6597355046975654,0.9979241357546546,0.27096576518580623,0.9178584841145219,0.7295402699873864,0.6769384633154105,0.778366342678134,0.7535308781313946
V3 | V5,0.6651908755912138,0.9980037655427535,0.3389324520805386,0.9251672826570561,0.6723791632001289,0.7299758320073783,0.7416814333530222,0.7522286819388712
V10 | V18,0.6907475757578697,0.9976220250815189,0.20680627362585144,0.9093143045949253,0.7828657309250959,0.5627538696731866,0.8210687611707561,0.7512462663249309
V10 | V21,0.6762174182482615,0.9966593378086334,0.16844440757323031,0.9553871930943176,0.7885091650787687,0.4998766594088592,0.8466260543369004,0.7502409231668604
V3 | V21,0.6650013139835615,0.9979834283007418,0.299589686819003,0.9565120694596274,0.7217058049971822,0.595257371720989,0.8031806834171127,0.7490890495461427
V9 | V10,0.6336869262279694,0.9970588616657541,0.17688713788483118,0.9057817586006494,0.8288054534231504,0.5822372544661825,0.8197234270606795,0.7490480554910892
V1 | V7,0.6698002117224795,0.9982078919480791,0.37148749793465224,0.9352893073587165,0.6697866401867905,0.7321737193700462,0.662915410203003,0.7479559927019667
V14 | V27,0.6509650163476359,0.9981018446036718,0.20113848378505172,0.9246135252179157,0.7796441319341941,0.5409158297748852,0.8845634850371005,0.7464629762369138
V17 | V27,0.6787153660087307,0.9970062703481373,0.1987276284058874,0.944160353775022,0.7225882289793619,0.5487237965692552,0.8616004429780635,0.746141379353468
